"","gyeongsang","seoul"
"1","따른 나라에서 먹었던 음식 중에서","다른 나라에서 먹었던 음식 중에서"
"2","어떤 게 제일 맛있었는지 궁금합니다.","어떤 게 제일 맛있었는지 궁금합니다."
"3","어~ 여행가면 일단은 새로운 곳에 왔다는 그~ 설레임과","어~ 여행가면 일단은 새로운 곳에 왔다는 그~ 설레임과"
"4","그 기쁨 때문에","그 기쁨 때문에"
"5","뭘 먹어도 맛있었던 거 같은데","뭘 먹어도 맛있었던 거 같은데"
"6","맛있었던 거 꼽으면","맛있었던 거 꼽으면"
"7","정말 제가 먹은 거 거의 다 말해야 될 것 같은데요.","정말 제가 먹은 거 거의 다 말해야 될 것 같은데요."
"8","근데 가장 기억에 남는 거는요.","근데 가장 기억에 남는 거는요."
"9","진짜 최악의 음식이 있었거든요.","진짜 최악의 음식이 있었거든요."
"10","인도에서 그게 저는 가장 기억에 남아요.","인도에서 그게 저는 가장 기억에 남아요."
"11","그~ 보통 인도에 가면","그~ 보통 인도에 가면"
"12","인도가 카레 국가라고 하잖아요.","인도가 카레 국가라고 하잖아요."
"13","근데 우리는 카레가 노란색이라고 생각을 하잖아요.","근데 우리는 카레가 노란색이라고 생각을 하잖아요."
"14","강황 때문에","강황 때문에"
"15","한데 그거는 어~ 한국에 들어오면서부터 색깔이 변한 것 같고","한데 그거는 어~ 한국에 들어오면서부터 색깔이 변한 것 같고"
"16","인도의 카레는 거의 초록색이거든요 이런 색깔?","인도의 카레는 거의 초록색이거든요 이런 색깔?"
"17","((것도)) 우리가 아는 노란색이 아니고 이런 색깔이고 그리고 먹으면 이케 향신료 향이 너무 강해가지고","((것도)) 우리가 아는 노란색이 아니고 이런 색깔이고 그리고 먹으면 이렇게 향신료 향이 너무 강해가지고"
"18","저는 진짜 먹는 거 좋아하는데도","저는 진짜 먹는 거 좋아하는데도"
"19","그때 거의 일주일 정도를 입맛에 안 맞아서 식음을 전폐했었거든요.","그때 거의 일주일 정도를 입맛에 안 맞아서 식음을 전폐했었거든요."
"20","(()) 진짜 맛없 -었- 었는데","(()) 진짜 맛없 -었- 었는데"
"21","그게 기억에 남아요.","그게 기억에 남아요."
"22","저도 카레 되게 좋아하는데","저도 카레 되게 좋아하는데"
"23","저는 딱히 우리나라 카레 밖에 안 먹어봤 아~ 일본식 카레랑 우리나라 이렇게 두 개 먹어봤는데","저는 딱히 우리나라 카레 밖에 안 먹어봤 아~ 일본식 카레랑 우리나라 이렇게 두 개 먹어봤는데"
"24","카레를 먹을 때 저는 약간 카레가 매운 거예요 긍까","카레를 먹을 때 저는 약간 카레가 매운 거예요 그러니까"
"25","맛이 아~ 매운맛 이런 거 선택한 게 아닌데 매운 거예요.","맛이 아~ 매운맛 이런 거 선택한 게 아닌데 매운 거예요."
"26","어~ 근데 저는 그 맛이 좋았거든 긍까 카레 특유의 맛이 좋은 거예요.","어~ 근데 저는 그 맛이 좋았거든 그러니까 카레 특유의 맛이 좋은 거예요."
"27","그래서 친구한테 야 카레 먹을 때 되게 약간 맵지 않냐 이렇게 말했더니 아니라는 거예요.","그래서 친구한테 야 카레 먹을 때 되게 약간 맵지 않냐 이렇게 말했더니 아니라는 거예요."
"28","카레가 뭐가 맵냐면서 그러더라고요 그래서","카레가 뭐가 맵냐면서 그러더라고요 그래서"
"29","알고 봤더니 제가 카레 알레르기가 있어서 그렇게 느꼈던 건데","알고 봤더니 제가 카레 알레르기가 있어서 그렇게 느꼈던 건데"
"30","저는 그 맛이 좋았던 거죠.","저는 그 맛이 좋았던 거죠."
"31","아~ 혀가 약간 따끔따끔하거든요.","아~ 혀가 약간 따끔따끔하거든요."
"32","맵다는 게 제가 맵다는 말이","맵다는 게 제가 맵다는 말이"
"33","그래서 좋아하는데 알고 보니 알레르기여서 굉장히 놀랬던 기억이 있어요.","그래서 좋아하는데 알고 보니 알레르기여서 굉장히 놀랬던 기억이 있어요."
"34","어~ 그러면 카레를 드시면 안 되는 거예요?","어~ 그러면 카레를 드시면 안 되는 거예요?"
"35","알러지가 있으면?","알러지가 있으면?"
"36","제가 생각할 때 근데 알러지가 그렇게 심하지만 않으면 솔직히 저는 알러 어떤 알러지든 괜찮다고 생각하거든요.","제가 생각할 때 근데 알러지가 그렇게 심하지만 않으면 솔직히 저는 알러 어떤 알러지든 괜찮다고 생각하거든요."
"37","그래서 저는 어~ 솔직히 카레가","그래서 저는 어~ 솔직히 카레가"
"38","알러지가 있는지도 몰라 그 말을 안 했으면 알러지도 몰랐을 것 같아서 그냥 어차피 먹고 있습니다.","알러지가 있는지도 몰라 그 말을 안 했으면 알러지도 몰랐을 것 같아서 그냥 어차피 먹고 있습니다."
"39","어~ 신기하네요.","어~ 신기하네요."
"40","아~ 그러면 좋아하는 음식은 뭐예요?","아~ 그러면 좋아하는 음식은 뭐예요?"
"41","저는 면류를 되게 좋아하는데요.","저는 면류를 되게 좋아하는데요."
"42","특히 파스타를 되게 좋아하는데","특히 파스타를 되게 좋아하는데"
